"﻿""Area""",Item,Element,2009,flag,2010,flag,2011,flag,2012,flag,2013,flag
Cambodia,Maize,Producer Price (USD/tonne) (USD),201.01,,263.37,,304.07,,313.92,,,
Republic of Korea,Rice paddy,Producer Price (USD/tonne) (USD),1572.83,,1634.23,,,,,,,
Republic of Korea,Barley,Producer Price (USD/tonne) (USD),595.23,,635,,,,,,,
Republic of Korea,Maize,Producer Price (USD/tonne) (USD),479.49,,557.71,,,,,,,
Republic of Korea,Sorghum,Producer Price (USD/tonne) (USD),2188.22,,2813,,,,,,,
Republic of Korea,Buckwheat,Producer Price (USD/tonne) (USD),2573.15,,2905.12,,,,,,,
Latvia,Wheat,Producer Price (USD/tonne) (USD),160,,218.87,,278,,270.91,,243.75,
Latvia,Barley,Producer Price (USD/tonne) (USD),124,,175.47,,238,,252.73,,213.52,
Latvia,Rye,Producer Price (USD/tonne) (USD),112,,150.94,,240,,227.27,,198.4,
Latvia,Oats,Producer Price (USD/tonne) (USD),98,,133.96,,188,,214.55,,156.83,
Latvia,Buckwheat,Producer Price (USD/tonne) (USD),182,,601.89,,302,,336.36,,302.33,
Latvia,Triticale,Producer Price (USD/tonne) (USD),118,,175.47,,230,,243.64,,200.29,
Latvia,Grain mixed,Producer Price (USD/tonne) (USD),106,,173.58,,238,,223.64,,181.4,
Lao People's Democratic Republic,Rice paddy,Producer Price (USD/tonne) (USD),249.88,F,288.51,F,288.29,,253.38,,318.42,
Lao People's Democratic Republic,Maize,Producer Price (USD/tonne) (USD),134.43,F,143.77,F,153.05,,161.22,,178.97,
Lebanon,Wheat,Producer Price (USD/tonne) (USD),364.84,,373.69,F,382.53,F,391.38,,391.38,
Lebanon,Barley,Producer Price (USD/tonne) (USD),212.27,,159.2,,263.35,,291.21,,267.33,
Lebanon,Maize,Producer Price (USD/tonne) (USD),378.11,,324.82,F,271.53,F,218.24,,,
Lithuania,Wheat,Producer Price (USD/tonne) (USD),161.41,,215.15,,286.86,,273.43,,238.18,
Lithuania,Barley,Producer Price (USD/tonne) (USD),127.94,,171.58,,248.73,,257.87,,236.1,
Lithuania,Maize,Producer Price (USD/tonne) (USD),162.38,,239.85,,251.77,,263.69,,221.45,
Lithuania,Rye,Producer Price (USD/tonne) (USD),99.88,,150.35,,244.13,,226.16,,180.26,
Lithuania,Oats,Producer Price (USD/tonne) (USD),82.22,,117.96,,221.31,,206.98,,156.37,
Lithuania,Buckwheat,Producer Price (USD/tonne) (USD),227.22,,674.23,,485.92,,382.69,,354.47,
Lithuania,Triticale,Producer Price (USD/tonne) (USD),108.35,,181.19,,224.41,,241.68,,193.6,
Lithuania,Grain mixed,Producer Price (USD/tonne) (USD),124.84,,166.38,,211.95,,226.72,,194.41,
Madagascar,Rice paddy,Producer Price (USD/tonne) (USD),314.49,,280.22,,316.19,,,,,
Madagascar,Maize,Producer Price (USD/tonne) (USD),220.4,,215.56,,216.52,,,,,
Malawi,Rice paddy,Producer Price (USD/tonne) (USD),1209.04,,1089.01,,1048.99,,1217.27,,973.77,
Malawi,Maize,Producer Price (USD/tonne) (USD),332.66,,228.76,,194.08,,234.7,,294.54,
Malawi,Millet,Producer Price (USD/tonne) (USD),1032.8,,935.76,,926.47,,855.31,,673.4,
Malawi,Sorghum,Producer Price (USD/tonne) (USD),871.38,,872.83,,712.66,,711.49,,536.42,
Malaysia,Rice paddy,Producer Price (USD/tonne) (USD),213.07,,232.92,,245.1,,242.72,,238.2,
Malaysia,Maize,Producer Price (USD/tonne) (USD),142.05,,155.28,,179.74,,194.17,,190.56,
Mali,Rice paddy,Producer Price (USD/tonne) (USD),316.38,,374.22,,415.76,,329.26,,348.26,
Mali,Maize,Producer Price (USD/tonne) (USD),176.24,,206.33,,360.6,,299.86,,352.31,
Mali,Millet,Producer Price (USD/tonne) (USD),286.65,,267.01,,466.67,,407.65,,431.27,
Mali,Sorghum,Producer Price (USD/tonne) (USD),235.69,,214.42,,424.24,,382.17,,372.56,
Mali,Fonio,Producer Price (USD/tonne) (USD),600.9,F,555.26,F,564.24,,,,,
Mexico,Wheat,Producer Price (USD/tonne) (USD),214.4,,213.4,,290.44,,274.17,,278.22,
Mexico,Rice paddy,Producer Price (USD/tonne) (USD),255.17,,251.48,,304.31,,286.85,,306.62,
Mexico,Barley,Producer Price (USD/tonne) (USD),237.01,,246.69,,290.14,,290.59,,283.76,
Mexico,Maize,Producer Price (USD/tonne) (USD),207.72,,223,,329.39,,304.68,,263.66,
Mexico,Rye,Producer Price (USD/tonne) (USD),222.39,,213.4,,145.4,,319.15,,297.67,
Mexico,Oats,Producer Price (USD/tonne) (USD),237.34,,223.47,,331.16,,382.68,,277.06,
Mexico,Millet,Producer Price (USD/tonne) (USD),207.96,F,233.49,F,362.13,F,336.89,F,25.12,
Mexico,Sorghum,Producer Price (USD/tonne) (USD),160.06,,179.71,,278.72,,259.29,,228.68,
Mexico,Triticale,Producer Price (USD/tonne) (USD),237.61,,271.2,,274.6,,284.02,,260.95,
Mexico,Canary seed,Producer Price (USD/tonne) (USD),654.21,,394.41,,410.48,,544.98,,432.51,
Mongolia,Wheat,Producer Price (USD/tonne) (USD),323.41,,366.17,,375.15,,284.67,,250.36,
Mongolia,Barley,Producer Price (USD/tonne) (USD),242.04,,360.01,,391.85,,330.73,,340.11,
Mongolia,Oats,Producer Price (USD/tonne) (USD),229.52,,399.75,,302.98,,380.68,,360.93,
Morocco,Wheat,Producer Price (USD/tonne) (USD),298.51,,305.59,,305.69,,319.81,,299.87,
Morocco,Barley,Producer Price (USD/tonne) (USD),199,,203.33,,278.47,,338.35,,273.69,
Morocco,Maize,Producer Price (USD/tonne) (USD),272.39,,256.84,,299.5,,320.97,,314.15,
Morocco,Oats,Producer Price (USD/tonne) (USD),353.23,,332.94,,376.24,,434.53,,402.2,
Morocco,Sorghum,Producer Price (USD/tonne) (USD),370.65,,407.85,,375,,405.56,,416.48,
Republic of Moldova,Wheat,Producer Price (USD/tonne) (USD),86.5,,129.38,,169.31,,203.34,,146.58,
Republic of Moldova,Barley,Producer Price (USD/tonne) (USD),93.77,F,140.25,F,183.54,F,220.42,F,158.9,
Republic of Moldova,Maize,Producer Price (USD/tonne) (USD),133.21,,182.51,,198.54,,239.91,,141.18,
Republic of Moldova,Rye,Producer Price (USD/tonne) (USD),112.33,F,168.02,F,219.88,F,264.06,F,190.36,
Republic of Moldova,Oats,Producer Price (USD/tonne) (USD),98.88,F,147.9,F,193.54,F,232.43,F,167.56,
Republic of Moldova,Millet,Producer Price (USD/tonne) (USD),,,,,,,,,139.59,
Republic of Moldova,Sorghum,Producer Price (USD/tonne) (USD),61.18,F,91.51,F,119.76,F,143.82,F,103.68,
Republic of Moldova,Buckwheat,Producer Price (USD/tonne) (USD),288.99,F,432.26,F,565.66,F,679.34,F,489.72,
Nepal,Wheat,Producer Price (USD/tonne) (USD),219.62,,270.61,,292.93,,255.23,,256.48,
Nepal,Rice paddy,Producer Price (USD/tonne) (USD),236.58,,293.04,,280.07,,250.29,,252.18,
Nepal,Barley,Producer Price (USD/tonne) (USD),219.62,,294.02,,301.33,,270.1,,256.26,
Nepal,Maize,Producer Price (USD/tonne) (USD),210.76,,289.48,,294.96,,265.11,,257.55,
Nepal,Millet,Producer Price (USD/tonne) (USD),185.83,,264.48,,264.48,,240.17,,288.67,
Netherlands,Wheat,Producer Price (USD/tonne) (USD),153.56,,211.46,,268.63,,287.19,,258.74,
Netherlands,Barley,Producer Price (USD/tonne) (USD),141.69,,226.09,,287.57,,288.26,,240.26,
Netherlands,Maize,Producer Price (USD/tonne) (USD),139.71,,,,,,,,,
Netherlands,Triticale,Producer Price (USD/tonne) (USD),132.46,,221.64,,254.17,,288.46,,226.4,
The former Yugoslav Republic of Macedonia,Wheat,Producer Price (USD/tonne) (USD),159.41,,225.57,,333.57,,316.98,,305.91,
The former Yugoslav Republic of Macedonia,Rice paddy,Producer Price (USD/tonne) (USD),570.35,,459.92,,470.62,,377.58,,377.41,
The former Yugoslav Republic of Macedonia,Barley,Producer Price (USD/tonne) (USD),325.84,,167.44,,294.83,,284.86,,243.99,
The former Yugoslav Republic of Macedonia,Maize,Producer Price (USD/tonne) (USD),184.58,,225.58,,333.31,,279.61,,280.82,
The former Yugoslav Republic of Macedonia,Rye,Producer Price (USD/tonne) (USD),352.44,,177.26,,,,,,,
The former Yugoslav Republic of Macedonia,Oats,Producer Price (USD/tonne) (USD),214.11,,187.26,,303.99,,294.22,,372.04,
Vanuatu,Maize,Producer Price (USD/tonne) (USD),1094.13,,,,,,,,,
New Zealand,Wheat,Producer Price (USD/tonne) (USD),317.04,,292.54,,274.37,,339.81,,326.57,
New Zealand,Barley,Producer Price (USD/tonne) (USD),247.47,,256.12,,259.52,,310.57,,320.83,
New Zealand,Maize,Producer Price (USD/tonne) (USD),291.14,,230.22,,367.46,,391.87,,429.96,
New Zealand,Oats,Producer Price (USD/tonne) (USD),334.81,,307.19,,290.48,,384.55,,338.06,
Nicaragua,Rice paddy,Producer Price (USD/tonne) (USD),378.5,,368.15,,390.98,,406.36,,,
Nicaragua,Maize,Producer Price (USD/tonne) (USD),366.12,,288.17,,297.11,,256.67,,,
Nicaragua,Sorghum,Producer Price (USD/tonne) (USD),273.82,,285.78,,418.75,,300.93,,,
Niger,Wheat,Producer Price (USD/tonne) (USD),719.81,,,,,,,,,
Niger,Rice paddy,Producer Price (USD/tonne) (USD),889.67,,792.94,,823.03,,823.14,,,
Niger,Maize,Producer Price (USD/tonne) (USD),481.99,,422.77,,458.18,,478.21,,,
Niger,Millet,Producer Price (USD/tonne) (USD),431.03,,412.65,,405.15,,507.6,,,
Niger,Sorghum,Producer Price (USD/tonne) (USD),411.92,,398.5,,379.7,,460.57,,,
Niger,Fonio,Producer Price (USD/tonne) (USD),913.03,,,,,,,,,
Nigeria,Wheat,Producer Price (USD/tonne) (USD),181.82,F,239.52,,219.87,,216.84,,240.65,
Nigeria,Rice paddy,Producer Price (USD/tonne) (USD),191.77,,364.4,,385.99,,366.07,,365.16,
Nigeria,Maize,Producer Price (USD/tonne) (USD),169.94,,333,,340.99,,350.57,,358.98,
Nigeria,Millet,Producer Price (USD/tonne) (USD),174.17,,279.31,,282.07,,293.3,,300.29,
Nigeria,Sorghum,Producer Price (USD/tonne) (USD),171.68,,262.21,,282.07,,293.3,,300.29,
Nigeria,Fonio,Producer Price (USD/tonne) (USD),,,259.48,,265.84,,273.09,,289.28,
Norway,Wheat,Producer Price (USD/tonne) (USD),367.2,,382.62,,426.61,,451.81,,483.51,
Norway,Barley,Producer Price (USD/tonne) (USD),339.2,,342.22,,395.89,,395.7,,421.83,
Norway,Rye,Producer Price (USD/tonne) (USD),331.52,,348.01,,386.96,,414.97,,462.21,
Norway,Oats,Producer Price (USD/tonne) (USD),314.56,,309.6,,356.07,,358.35,,382.48,
Norway,Triticale,Producer Price (USD/tonne) (USD),344.48,,349.5,,381.79,,396.04,,,
Pakistan,Wheat,Producer Price (USD/tonne) (USD),298.62,,294.64,,,,,,,
Pakistan,Barley,Producer Price (USD/tonne) (USD),256.18,,264.7,,,,,,,
Pakistan,Maize,Producer Price (USD/tonne) (USD),218.22,,228.95,,,,,,,
Pakistan,Millet,Producer Price (USD/tonne) (USD),336.68,,342.87,,,,,,,
Pakistan,Sorghum,Producer Price (USD/tonne) (USD),309.75,,322.81,,,,,,,
Panama,Rice paddy,Producer Price (USD/tonne) (USD),415.87,,438.26,,432.17,,552.36,,567.68,
Panama,Maize,Producer Price (USD/tonne) (USD),434.13,,417.17,,535.21,,648.3,,622.8,
Panama,Sorghum,Producer Price (USD/tonne) (USD),271.74,,271.74,,271.74,,275.57,,,
Czech Republic,Wheat,Producer Price (USD/tonne) (USD),144.88,,166.46,,265.11,,247.03,,261.21,
Czech Republic,Barley,Producer Price (USD/tonne) (USD),176.4,,164.09,,256.34,,251.77,,264.27,
Czech Republic,Maize,Producer Price (USD/tonne) (USD),147.84,,172.28,,266.53,,241.21,,258.75,
Czech Republic,Rye,Producer Price (USD/tonne) (USD),139.65,,149.71,,267.61,,261.15,,236.21,
Czech Republic,Oats,Producer Price (USD/tonne) (USD),147.04,,137.8,,208.73,,210.49,,251.65,
Czech Republic,Triticale,Producer Price (USD/tonne) (USD),,,,,,,225.66,,235.09,
Paraguay,Wheat,Producer Price (USD/tonne) (USD),183.19,,204.91,,223.35,,216.9,,434.4,
Paraguay,Rice paddy,Producer Price (USD/tonne) (USD),234.37,F,256.24,,227.66,,248.8,,240.05,
Paraguay,Maize,Producer Price (USD/tonne) (USD),145.3,,192.45,,261.21,,246.53,,278.08,
Paraguay,Sorghum,Producer Price (USD/tonne) (USD),96.93,F,74.15,,160.32,,122.36,,90.92,
Peru,Wheat,Producer Price (USD/tonne) (USD),382.06,,397.16,,458.18,,500,,507.69,
Peru,Rice paddy,Producer Price (USD/tonne) (USD),229.24,,269.5,,396.36,,337.12,,322.4,
Peru,Barley,Producer Price (USD/tonne) (USD),312.29,,308.51,,352.73,,409.09,,429.87,
Peru,Maize,Producer Price (USD/tonne) (USD),425.25,,455.67,,507.27,,560.61,,587.36,
Peru,Rye,Producer Price (USD/tonne) (USD),222.59,,326.24,,421.82,,458.33,,426.16,
Peru,Oats,Producer Price (USD/tonne) (USD),355.48,,436.17,,483.64,,515.15,,552.15,
Peru,Sorghum,Producer Price (USD/tonne) (USD),215.95,,177.3,,210.91,,212.12,,244.58,
Peru,Quinoa,Producer Price (USD/tonne) (USD),1116.28,,1198.58,,1338.18,,1469.7,,2330.91,
Philippines,Rice paddy,Producer Price (USD/tonne) (USD),306.9,,329.86,,350.27,,384.27,,399.26,
Philippines,Maize,Producer Price (USD/tonne) (USD),232.01,,246.89,,304.2,,305.38,,299.86,
Poland,Wheat,Producer Price (USD/tonne) (USD),155.81,,199,,278.31,,275.38,,252.28,
Poland,Barley,Producer Price (USD/tonne) (USD),131.61,,163.46,,256.61,,252.92,,232.97,
Poland,Maize,Producer Price (USD/tonne) (USD),142.9,,196.68,,230.85,,225.23,,212.4,
Poland,Rye,Producer Price (USD/tonne) (USD),105.48,,140.2,,252.88,,229.23,,175.36,
Poland,Oats,Producer Price (USD/tonne) (USD),99.35,,115.61,,220.68,,202.46,,169.03,
Poland,Millet,Producer Price (USD/tonne) (USD),306.45,,260.8,,319.32,,279.38,,326.03,
Poland,Buckwheat,Producer Price (USD/tonne) (USD),254.52,,537.87,,602.37,,347.08,,364.02,
Poland,Triticale,Producer Price (USD/tonne) (USD),119.68,,156.48,,247.12,,248,,207.33,
Portugal,Wheat,Producer Price (USD/tonne) (USD),316.67,,218.03,,279.72,,332.05,,307.6,
Portugal,Rice paddy,Producer Price (USD/tonne) (USD),313.06,,357.63,,409.03,,380.38,,359.66,
Portugal,Barley,Producer Price (USD/tonne) (USD),195.69,,183.82,,270.69,,276.03,,268.55,
Portugal,Maize,Producer Price (USD/tonne) (USD),192.92,,269.87,,286.53,,306.67,,224.19,
Portugal,Rye,Producer Price (USD/tonne) (USD),184.03,,197.11,,226.67,,256.92,,278.91,
Portugal,Oats,Producer Price (USD/tonne) (USD),197.5,,187.5,,266.39,,276.15,,265.37,
Portugal,Triticale,Producer Price (USD/tonne) (USD),194.17,,189.21,,270.56,,278.97,,264.17,
Puerto Rico,Maize,Producer Price (USD/tonne) (USD),1877.71,,1963.04,,1524.32,,1556.22,,1304.18,
Zimbabwe,Wheat,Producer Price (USD/tonne) (USD),,,466,,465.99,,446,,466,
Zimbabwe,Maize,Producer Price (USD/tonne) (USD),,,275,,284.99,,295,,295,
Zimbabwe,Millet,Producer Price (USD/tonne) (USD),,,110,,284.99,,295,,295,
Zimbabwe,Sorghum,Producer Price (USD/tonne) (USD),,,110,,284.99,,295,,295,
Romania,Wheat,Producer Price (USD/tonne) (USD),154.61,,186.12,,289.47,,263.01,,255.47,
Romania,Barley,Producer Price (USD/tonne) (USD),187.5,,182.97,,299.34,,289.02,,312.57,
Romania,Maize,Producer Price (USD/tonne) (USD),220.39,,223.97,,328.95,,300.58,,300.55,
Romania,Oats,Producer Price (USD/tonne) (USD),230.26,,252.37,,371.71,,349.71,,336.61,
Rwanda,Wheat,Producer Price (USD/tonne) (USD),553.16,,580.15,,601.46,,655.46,,630.23,
Rwanda,Rice paddy,Producer Price (USD/tonne) (USD),1096.14,,979.32,,939.97,,981.06,,934.66,
Rwanda,Maize,Producer Price (USD/tonne) (USD),409.77,,313.48,,375.87,,409.01,,409.84,
Rwanda,Sorghum,Producer Price (USD/tonne) (USD),436.93,,388.92,,396.53,,543.22,,436.93,
Russian Federation,Wheat,Producer Price (USD/tonne) (USD),134.72,,127.37,,174.22,,208.49,,211.13,
Russian Federation,Rice paddy,Producer Price (USD/tonne) (USD),368.69,,364.66,,332.78,,288.97,,375.53,
Russian Federation,Barley,Producer Price (USD/tonne) (USD),120.56,,111.82,,170.05,,192.03,,200.47,
Russian Federation,Maize,Producer Price (USD/tonne) (USD),137.93,,154.18,,201.81,,219.62,,206.91,
Russian Federation,Rye,Producer Price (USD/tonne) (USD),120.49,,112.35,,133.83,,147.01,,154.44,
Russian Federation,Oats,Producer Price (USD/tonne) (USD),125.15,,118.45,,153.31,,149.54,,181.79,
Russian Federation,Millet,Producer Price (USD/tonne) (USD),125.11,,126.22,,175.92,,129.54,,164.78,
Russian Federation,Buckwheat,Producer Price (USD/tonne) (USD),182.52,,268.54,,534.65,,342.78,,226.53,
Saint Vincent and the Grenadines,Maize,Producer Price (USD/tonne) (USD),1600.39,,1257.45,,906.34,,1053.32,,1326.86,
Saudi Arabia,Wheat,Producer Price (USD/tonne) (USD),400,,372,,370.67,,372,,384,
Senegal,Rice paddy,Producer Price (USD/tonne) (USD),324.87,,291.29,,337.27,,,,,
Senegal,Maize,Producer Price (USD/tonne) (USD),324.87,,291.29,,328.79,,,,,
Senegal,Millet,Producer Price (USD/tonne) (USD),324.87,,307.47,,328.79,,,,,
Senegal,Sorghum,Producer Price (USD/tonne) (USD),324.87,,307.47,,328.79,,,,,
Senegal,Fonio,Producer Price (USD/tonne) (USD),702.82,,665.51,,712.73,,,,,
Slovenia,Wheat,Producer Price (USD/tonne) (USD),165.69,,178.55,,268.19,,250.77,,241.33,
Slovenia,Barley,Producer Price (USD/tonne) (USD),145.28,,142.63,,251.11,,230.26,,236.4,
Slovenia,Maize,Producer Price (USD/tonne) (USD),137.22,,204.08,,236.53,,256.15,,225.6,
Slovenia,Rye,Producer Price (USD/tonne) (USD),221.94,,194.47,,268.89,,281.54,,253.07,
Slovenia,Oats,Producer Price (USD/tonne) (USD),243.75,,233.82,,260.42,,213.85,,270.67,
Slovenia,Buckwheat,Producer Price (USD/tonne) (USD),717.08,,1021.45,,970,,859.36,,871.73,
Slovenia,Triticale,Producer Price (USD/tonne) (USD),132.36,,189.87,,307.08,,234.87,,216.27,
Slovakia,Wheat,Producer Price (USD/tonne) (USD),159.89,,194.53,,273.38,,263.33,,231.63,
Slovakia,Barley,Producer Price (USD/tonne) (USD),211.96,,201.09,,290.88,,277.95,,267.9,
Slovakia,Maize,Producer Price (USD/tonne) (USD),135.69,,195.87,,232.06,,256.03,,229.39,
Slovakia,Rye,Producer Price (USD/tonne) (USD),162.26,,184.05,,270.57,,222.05,,191.06,
Slovakia,Oats,Producer Price (USD/tonne) (USD),243.56,,218.63,,284.99,,264.74,,282.17,
South Africa,Wheat,Producer Price (USD/tonne) (USD),192.57,,315.18,,328.25,,355.8,,299.19,
South Africa,Barley,Producer Price (USD/tonne) (USD),254.61,,274.42,,315.37,,305.49,,264.7,
South Africa,Maize,Producer Price (USD/tonne) (USD),156.29,,137.48,,212.05,,240.54,,208.4,
South Africa,Oats,Producer Price (USD/tonne) (USD),155.33,,296.85,,277.56,,249.82,,216.08,
South Africa,Sorghum,Producer Price (USD/tonne) (USD),179.04,,189.33,,231.58,,326.62,,279.66,
Spain,Wheat,Producer Price (USD/tonne) (USD),222.64,,229.61,,319.58,,317.82,,283.43,
Spain,Rice paddy,Producer Price (USD/tonne) (USD),418.47,,338.55,,383.47,,354.62,,365.38,
Spain,Barley,Producer Price (USD/tonne) (USD),173.19,,197.76,,270.56,,286.28,,240,
Spain,Maize,Producer Price (USD/tonne) (USD),200.28,,240.53,,301.25,,298.72,,264.17,
Spain,Rye,Producer Price (USD/tonne) (USD),169.17,,192.76,,255,,281.03,,225.12,
Spain,Oats,Producer Price (USD/tonne) (USD),176.25,,183.82,,252.08,,278.33,,222.2,
Spain,Millet,Producer Price (USD/tonne) (USD),445.14,,,,,,,,,
Spain,Sorghum,Producer Price (USD/tonne) (USD),189.86,,247.37,,277.78,,294.23,,255.01,
Spain,Triticale,Producer Price (USD/tonne) (USD),214.58,,230,,286.39,,281.28,,,
Spain,Canary seed,Producer Price (USD/tonne) (USD),550.83,,517.11,,555.56,,767.44,,,
Sudan (former),Wheat,Producer Price (USD/tonne) (USD),506.96,,540.43,,,,,,,
Sudan (former),Millet,Producer Price (USD/tonne) (USD),645.65,,741.3,,,,,,,
Sudan (former),Sorghum,Producer Price (USD/tonne) (USD),502.17,,550,,,,,,,
Suriname,Rice paddy,Producer Price (USD/tonne) (USD),203.64,,232.73,,290.52,,260.61,,245.45,
Suriname,Maize,Producer Price (USD/tonne) (USD),1727.27,,1763.64,,1834.86,,1790.91,,1818.18,
Tajikistan,Wheat,Producer Price (USD/tonne) (USD),242.72,,456.62,,520.61,,295.36,,,
Tajikistan,Rice paddy,Producer Price (USD/tonne) (USD),412.62,,456.62,,650.76,,843.88,,,
Tajikistan,Barley,Producer Price (USD/tonne) (USD),169.9,,182.65,,260.3,,316.46,,,
Tajikistan,Maize,Producer Price (USD/tonne) (USD),242.72,,456.62,,477.22,,358.65,,,
Tajikistan,Oats,Producer Price (USD/tonne) (USD),111.65,,388.13,,455.53,,316.46,,,
Sweden,Wheat,Producer Price (USD/tonne) (USD),149.8,,225.31,,277.35,,280.65,,256.41,
Sweden,Barley,Producer Price (USD/tonne) (USD),119.58,,190.54,,244.99,,242.25,,207.27,
Sweden,Rye,Producer Price (USD/tonne) (USD),106.44,,172.46,,255.78,,259.97,,204.2,
Sweden,Oats,Producer Price (USD/tonne) (USD),101.18,,151.6,,212.63,,214.18,,185.78,
Sweden,Triticale,Producer Price (USD/tonne) (USD),119.58,,194.71,,243.45,,257.02,,227.23,
Switzerland,Wheat,Producer Price (USD/tonne) (USD),406.48,,450,,519.1,,504.26,,515.88,
Switzerland,Barley,Producer Price (USD/tonne) (USD),294.44,,309.62,,360.67,,335.11,,341.04,
Switzerland,Maize,Producer Price (USD/tonne) (USD),294.44,,321.15,,342.7,,330.85,,336.72,
Switzerland,Rye,Producer Price (USD/tonne) (USD),312.96,,348.08,,401.12,,385.11,,391.76,
Switzerland,Oats,Producer Price (USD/tonne) (USD),268.52,,275,,314.61,,300,,307.58,
Switzerland,Triticale,Producer Price (USD/tonne) (USD),289.81,,302.88,,342.7,,335.11,,341.04,
United Republic of Tanzania,Maize,Producer Price (USD/tonne) (USD),282.52,,299.32,,,,,,,
United Republic of Tanzania,Millet,Producer Price (USD/tonne) (USD),465.81,,516.16,,,,,,,
United Republic of Tanzania,Sorghum,Producer Price (USD/tonne) (USD),352.96,,414.49,,,,,,,
Thailand,Rice paddy,Producer Price (USD/tonne) (USD),257.95,,270.48,,335.42,,318.08,,256.96,
Thailand,Maize,Producer Price (USD/tonne) (USD),158.45,,256.95,,250.25,,300.51,,231.32,
Thailand,Sorghum,Producer Price (USD/tonne) (USD),170.12,,219.34,,261.4,,251.93,,178.21,
Togo,Rice paddy,Producer Price (USD/tonne) (USD),341.85,,287.24,,369.09,,356.69,,398.88,
Togo,Maize,Producer Price (USD/tonne) (USD),350.35,,275.1,,328.79,,315.54,,309.79,
Togo,Millet,Producer Price (USD/tonne) (USD),348.22,,277.13,,335.15,,372.37,,,
Togo,Sorghum,Producer Price (USD/tonne) (USD),377.95,,323.65,,409.39,,390.01,,467.72,
Togo,Fonio,Producer Price (USD/tonne) (USD),687.96,,552.23,,952.42,,423.33,,617.55,
Trinidad and Tobago,Rice paddy,Producer Price (USD/tonne) (USD),441.46,,437.3,,453.98,,452.57,,457.89,
Oman,Wheat,Producer Price (USD/tonne) (USD),,,,,1184.21,,1184.21,,,
Oman,Barley,Producer Price (USD/tonne) (USD),,,,,,,151.24,,,
Oman,Maize,Producer Price (USD/tonne) (USD),,,,,,,317.11,,,
Oman,Sorghum,Producer Price (USD/tonne) (USD),,,,,131.58,,107.76,,,
Tunisia,Wheat,Producer Price (USD/tonne) (USD),318.52,,300.7,,304.96,,275.64,,264.82,
Tunisia,Barley,Producer Price (USD/tonne) (USD),222.22,,209.79,,212.77,,192.31,,184.76,
Tunisia,Triticale,Producer Price (USD/tonne) (USD),222.22,,209.79,,212.77,,192.31,,184.76,
Turkey,Wheat,Producer Price (USD/tonne) (USD),328.39,,352.07,,352.12,,335.23,,349.21,
Turkey,Rice paddy,Producer Price (USD/tonne) (USD),807.1,,777.33,,578.71,,535.17,,567.6,
Turkey,Barley,Producer Price (USD/tonne) (USD),261.94,,264.67,,286.93,,308.21,,309.58,
Turkey,Maize,Producer Price (USD/tonne) (USD),285.16,,311.33,,376.44,,321.61,,322.36,
Turkey,Rye,Producer Price (USD/tonne) (USD),241.29,,252.6,,267.63,,279.21,,302.36,
Turkey,Oats,Producer Price (USD/tonne) (USD),290.32,,316.73,,368.32,,371.13,,371.96,
Turkey,Millet,Producer Price (USD/tonne) (USD),524.52,,491.33,,547.5,,640.01,,709.85,
Turkey,Triticale,Producer Price (USD/tonne) (USD),263.23,,280.67,,293.49,,290.02,,301.45,
Turkey,Canary seed,Producer Price (USD/tonne) (USD),809.03,,661.33,,658.68,,1185.18,,,
Turkey,Grain mixed,Producer Price (USD/tonne) (USD),346.77,F,400,,,,,,,
United Kingdom,Wheat,Producer Price (USD/tonne) (USD),181.25,,201.54,,293.55,,306.35,,290.99,
United Kingdom,Barley,Producer Price (USD/tonne) (USD),134.38,,163.08,,256.45,,265.08,,247.19,
United Kingdom,Oats,Producer Price (USD/tonne) (USD),128.13,,153.85,,277.42,,300,,222.15,
United Kingdom,Triticale,Producer Price (USD/tonne) (USD),203.13,,,,,,,,,
Ukraine,Wheat,Producer Price (USD/tonne) (USD),101.67,,136.78,,167.25,,193.99,,171.15,
Ukraine,Rice paddy,Producer Price (USD/tonne) (USD),371.37,,295.72,,324.34,,294.24,,313.52,
Ukraine,Barley,Producer Price (USD/tonne) (USD),92.43,,120.28,,169.26,,197.5,,181.03,
Ukraine,Maize,Producer Price (USD/tonne) (USD),108.99,,156.93,,171.39,,189.61,,151.38,
Ukraine,Rye,Producer Price (USD/tonne) (USD),78.95,,99.87,,160.85,,164.46,,140.62,
Ukraine,Oats,Producer Price (USD/tonne) (USD),81,,96.6,,197.37,,189.11,,178.53,
Ukraine,Millet,Producer Price (USD/tonne) (USD),75.74,,130.48,,193.35,,150.44,,181.66,
Ukraine,Buckwheat,Producer Price (USD/tonne) (USD),189.47,,492.44,,600.75,,472.09,,335.42,
Ukraine,Cereals nes,Producer Price (USD/tonne) (USD),72.02,,128.21,,158.59,,182.35,,138.5,
United States of America,Wheat,Producer Price (USD/tonne) (USD),179,,209,,266,,286,,252,
United States of America,Rice paddy,Producer Price (USD/tonne) (USD),317,,280,,320,,333,,353,
United States of America,Barley,Producer Price (USD/tonne) (USD),214,,177,,246,,295,,278,
United States of America,Maize,Producer Price (USD/tonne) (USD),140,,204,,245,,271,,177,
United States of America,Rye,Producer Price (USD/tonne) (USD),194,,198,,305,,302,,309,
United States of America,Oats,Producer Price (USD/tonne) (USD),139,,174,,240,,268,,258,
United States of America,Millet,Producer Price (USD/tonne) (USD),117,,185,,245,,621,,277,
